,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
101,102,A,FV FAMILY,457,2878119,1356583213,Comedy,"Jul 20th, 2018",9939,5471560,1400,21900,41000,656600,492400,7900000,2951,1573,https://socialblade.com/youtube/user/4-egdvoe41__-rie0e9l6a
102,103,A,CalvinHarrisVEVO,126,12634655,10619822512,Music,"Oct 15th, 2009",-900,4691300,1200,18800,35200,563000,422200,6800000,243,67,https://socialblade.com/youtube/user/calvinharrisvevo
103,104,A,ChainsmokersVEVO,145,12192901,8497598789,Music,"Oct 22nd, 2012",-1381,4392330,1100,17600,32900,527100,395300,6300000,264,95,https://socialblade.com/youtube/user/chainsmokersvevo
104,105,A,Blippi,157,3986330,3132065125,Education,"Jan 27th, 2014",6447,4517450,1100,18100,33900,542100,406600,6500000,1784,489,https://socialblade.com/youtube/user/blippivideos
105,106,A,Markiplier,4370,23648321,10980098298,Games,"May 26th, 2012",9447,4760910,1200,19000,35700,571300,428500,6900000,59,60,https://socialblade.com/youtube/user/markipliergame
106,107,A,SSSniperWolf,2077,15236724,3551519619,People,"Jan 20th, 2013",14654,1974100,494,7900,14800,236900,177700,2800000,169,402,https://socialblade.com/youtube/user/sssniperwolf
107,108,A,BuzzFeedVideo,5975,18784793,15068278992,People,"Aug 10th, 2011",6360,4803930,1200,19200,36000,576500,432400,6900000,106,28,https://socialblade.com/youtube/user/buzzfeedvideo
108,109,A,DisneyMusicVEVO,786,12206837,7845200699,Music,"May 20th, 2010",6488,4455210,1100,17800,33400,534600,401000,6400000,263,107,https://socialblade.com/youtube/user/disneymusicvevo
109,110,A,Kids Learning Songs,129,--,"1,214,342,211",People,"Aug 18th, 2010",--,4517440,1100,18100,33900,542100,406600,6500000,27264437,1806,https://socialblade.com/youtube/user/9mmoficial
110,111,A,Goo Goo Colors,215,3228732,1459788286,Entertainment,"Jul 7th, 2014",8811,4375610,1100,17500,32800,525100,393800,6300000,2474,1439,https://socialblade.com/youtube/user/x0eqsdrjn-exmweusth2cq
111,112,A,Su Kids,286,558868,152015067,Entertainment,"Oct 29th, 2011",8115,1823750,456,7300,13700,218900,164100,2600000,23435,19793,https://socialblade.com/youtube/user/hathiquynh
112,113,A,ABC News,46386,5837624,5154950918,News,"Aug 7th, 2006",7514,4581900,1100,18300,34400,549800,412400,6600000,947,219,https://socialblade.com/youtube/user/abcnews
113,114,A,Blippi Toys,119,3757945,2828674345,Entertainment,"Jul 6th, 2015",6635,4560910,1100,18200,34200,547300,410500,6600000,1937,580,https://socialblade.com/youtube/user/-gm4en7nnnr3k67j8ywf4g
114,115,A,Chicky Channel,21,287533,62294257,,"Apr 11th, 2017",-57,2075660,519,8300,15600,249100,186800,3000000,46607,49244,https://socialblade.com/youtube/user/eb6mi76q3nrvbvorrzvwrw
115,116,A,shakiraVEVO,144,19382167,15828678075,Music,"Sep 2nd, 2009",-1142,4608820,1200,18400,34600,553100,414800,6600000,96,23,https://socialblade.com/youtube/user/shakiravevo
116,117,A,BabyBus - Kids Songs & Nursery,1228,4182532,2891962785,Education,"Jul 15th, 2016",7636,5143960,1300,20600,38600,617300,463000,7400000,1661,565,https://socialblade.com/youtube/user/pyye8d5ffmupf9nsfgd4ba
117,118,A,David Guetta,495,20166974,11229736279,Music,"Dec 11th, 2009",4853,4540670,1100,18200,34100,544900,408700,6500000,92,55,https://socialblade.com/youtube/user/davidguettavevo
118,119,A,The Dodo,5006,3767608,1547297120,Animals,"Mar 21st, 2014",8344,3616200,904,14500,27100,433900,325500,5200000,1928,1330,https://socialblade.com/youtube/user/thedodosite
119,120,A,The Late Late Show with James,3363,19059209,5783705636,Entertainment,"Nov 21st, 2006",12522,4547690,1100,18200,34100,545700,409300,6500000,100,187,https://socialblade.com/youtube/user/thelatelateshow
120,121,A,KatyPerryVEVO,126,26272875,17258163609,Music,"Dec 13th, 2009",-1715,4625490,1200,18500,34700,555100,416300,6700000,39,18,https://socialblade.com/youtube/user/katyperryvevo
121,122,A,Power Rangers Official,3425,4704896,4550425027,Entertainment,"Nov 25th, 2010",7985,4441950,1100,17800,33300,533000,399800,6400000,1367,276,https://socialblade.com/youtube/user/prsamuraicast
122,123,A,حر إبداعة  5,1723,6644480,1562548655,,"Dec 8th, 2017",16368,4129030,1000,16500,31000,495500,371600,5900000,781,1314,https://socialblade.com/youtube/user/y7qvwo7uv_acoljl5riwkq
123,124,A,DuDuPopTOY,923,6427522,3369530413,Education,"May 5th, 2016",8994,4380210,1100,17500,32900,525600,394200,6300000,832,441,https://socialblade.com/youtube/user/bybxil8tc7atfviunc95hg
124,125,A,GameofThrones,849,4044831,859161539,Film,"Sep 29th, 2007",12975,2616350,654,10500,19600,314000,235500,3800000,1745,2816,https://socialblade.com/youtube/user/gameofthrones
125,126,A,Kluna Tik,209,7123228,2825498069,Entertainment,"Apr 17th, 2014",10187,4187910,1000,16800,31400,502500,376900,6000000,704,582,https://socialblade.com/youtube/user/klunatik
126,127,A,REACT,1605,11119172,3610528080,Entertainment,"Jul 30th, 2013",7188,4677980,1200,18700,35100,561400,421000,6700000,322,392,https://socialblade.com/youtube/user/react
127,128,A,The Surprise For Kids,135,4550943,1013810865,Entertainment,"Oct 22nd, 2015",22433,4158080,1000,16600,31200,499000,374200,6000000,1447,2263,https://socialblade.com/youtube/user/8asgezck6rbq2qy52favhw
128,129,A,Flashback FM,1137,1191929,963861806,Film,"Apr 13th, 2010",4841,2974180,744,11900,22300,356900,267700,4300000,9820,2382,https://socialblade.com/youtube/user/l0ky86
129,130,A,Talking Tom,234,9622317,4255339688,Comedy,"Jul 4th, 2010",14613,4368510,1100,17500,32800,524200,393200,6300000,425,308,https://socialblade.com/youtube/user/talkingtomcat
130,131,A,Telemundo,15519,7254079,4116079457,Entertainment,"Jan 3rd, 2007",9126,4129130,1000,16500,31000,495500,371600,5900000,676,321,https://socialblade.com/youtube/user/telemundotv
131,132,A,MatheusKauanVEVO,91,4406786,2917067039,Music,"Jun 11th, 2015",-235,3366190,842,13500,25200,403900,303000,4800000,1520,552,https://socialblade.com/youtube/user/matheuskauanvevo
132,133,A,Atlantic Records,1077,9451717,8571350426,Music,"Dec 15th, 2006",4826,-994259,0,0,0,0,0,0,439,93,https://socialblade.com/youtube/user/atlanticvideos
133,134,A,Collins Key,232,17676879,3249005445,Entertainment,"Aug 9th, 2011",11879,4139730,1000,16600,31000,496800,372600,6000000,129,469,https://socialblade.com/youtube/user/collinskey
134,135,A,Troom Troom,858,12803338,3915397275,Howto,"Sep 12th, 2015",14212,4323640,1100,17300,32400,518800,389100,6200000,237,339,https://socialblade.com/youtube/user/wwqhwqlsrdwmgp5dzg5dzg
135,136,A,Espa_ol Para Ni_os,70,--,"707,729,901",,"Mar 11th, 2017",--,3791410,948,15200,28400,455000,341200,5500000,27364302,3534,https://socialblade.com/youtube/user/qklhe7ujljaul2fjxfzlmw
136,137,A,American Idol,1994,1795146,635692501,Entertainment,"Mar 3rd, 2006",7664,4191400,1000,16800,31400,503000,377200,6000000,5778,4059,https://socialblade.com/youtube/user/americanidol
137,138,A,Lifetime,8120,2909998,2982859523,Entertainment,"Mar 5th, 2006",4473,4304590,1100,17200,32300,516600,387400,6200000,2897,526,https://socialblade.com/youtube/user/lifetime
138,139,A,A&E,6266,2248254,1923352080,Entertainment,"Sep 20th, 2006",6816,4440360,1100,17800,33300,532800,399600,6400000,4217,1008,https://socialblade.com/youtube/user/aetv
139,140,A,Ninja Kidz TV,106,4558358,1709028992,,"Feb 9th, 2017",9393,4239720,1100,17000,31800,508800,381600,6100000,1436,1172,https://socialblade.com/youtube/user/pz88dwlkw0h_aydauzptcw
140,141,A,Fueled By Ramen,1157,12011690,10955952050,Music,"Jun 9th, 2006",4252,4080470,1000,16300,30600,489700,367200,5900000,272,61,https://socialblade.com/youtube/user/fueledbyramen
141,142,A,Disney Junior,1516,3925453,2794799110,Entertainment,"Apr 22nd, 2008",6959,4097910,1000,16400,30700,491700,368800,5900000,1827,591,https://socialblade.com/youtube/user/disneyjunior
142,143,A,Official Pink Panther,461,6451577,3268704005,Film,"Sep 9th, 2013",9326,3746190,937,15000,28100,449500,337200,5400000,829,461,https://socialblade.com/youtube/user/pinkpanther
143,144,A,DreamWorksTV,4005,5511707,4027209339,Film,"Sep 18th, 2006",5546,4100140,1000,16400,30800,492000,369000,5900000,1039,329,https://socialblade.com/youtube/user/dreamworksanimation
144,145,A,FlareTV,16,2403113,393157370,,"Jan 13th, 2018",20609,4321350,1100,17300,32400,518600,388900,6200000,3868,7107,https://socialblade.com/youtube/user/mrlqfik_qqcsr3frha3okw
