,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
192,193,A,acdcVEVO,145,3146150,3311385934,Music,"Sep 2nd, 2009",-241,2522820,631,10100,18900,302700,227100,3600000,2582,450,https://socialblade.com/youtube/user/acdcvevo
193,194,B+,EeOneGuy,316,14240256,3308028842,Entertainment,"Mar 19th, 2013",2965,621924,155,2500,4700,74600,56000,895600,190,451,https://socialblade.com/youtube/user/eeoneguy
194,195,B+,Rclbeauty101,411,14079208,3301739852,Comedy,"Dec 14th, 2010",1182,805807,201,3200,6000,96700,72500,1200000,198,452,https://socialblade.com/youtube/user/rclbeauty101
195,196,B+,Yippee Toys,1792,7729242,3295791642,Entertainment,"May 19th, 2015",1204,443411,111,1800,3300,53200,39900,638500,607,454,https://socialblade.com/youtube/user/iw97iyd9cbayr00d94v3tg
196,197,A-,Daily Bumps,2117,4553852,3291867331,People,"Dec 31st, 2012",2107,1466260,367,5900,11000,176000,132000,2100000,1441,455,https://socialblade.com/youtube/user/dailybumps
197,198,A,Dr. Phil,8413,4210378,3274998481,Entertainment,"Jul 5th, 2007",4561,2834660,709,11300,21300,340200,255100,4100000,1639,457,https://socialblade.com/youtube/user/drphilshow
198,199,A,Official Pink Panther,461,6451577,3268704005,Film,"Sep 9th, 2013",9340,3746190,937,15000,28100,449500,337200,5400000,829,461,https://socialblade.com/youtube/user/pinkpanther
199,200,B+,PrinceRoyceVEVO,112,5994332,3262055108,Music,"Feb 19th, 2010",-278,1225230,306,4900,9200,147000,110300,1800000,913,462,https://socialblade.com/youtube/user/princeroycevevo
200,201,A,LES BOYS TV2,181,--,"3,264,361,341",Entertainment,"Feb 7th, 2017",--,11618300,2900,46500,87100,1400000,1000000,16700000,27251201,466,https://socialblade.com/youtube/user/erphf_9voxqb29bvdk9_jw
201,202,A,TEDx Talks,131855,18240486,3252668038,Nonprofit,"Jun 23rd, 2009",20916,2826190,707,11300,21200,339100,254400,4100000,117,467,https://socialblade.com/youtube/user/tedxtalks
202,203,B+,Bart Baker,325,10098403,3249713991,Comedy,"Dec 1st, 2006",644,431474,108,1700,3200,51800,38800,621300,390,468,https://socialblade.com/youtube/user/bartbaker
203,204,A,Collins Key,232,17676879,3249005445,Entertainment,"Aug 9th, 2011",11903,4139730,1000,16600,31000,496800,372600,6000000,129,469,https://socialblade.com/youtube/user/collinskey
204,205,A,KarolGVEVO,32,3611230,3246608159,Music,"Jan 11th, 2016",-97,5016900,1300,20100,37600,602000,451500,7200000,2059,470,https://socialblade.com/youtube/user/karolgvevo
205,206,B+,RaeSremmurdVEVO,51,5620866,3225072372,Music,"Jul 1st, 2014",-347,912672,228,3700,6800,109500,82100,1300000,1014,473,https://socialblade.com/youtube/user/raesremmurdvevo
206,207,A,PostMaloneVEVO,16,4103102,3203681986,Music,"Sep 30th, 2014",-310,5400090,1400,21600,40500,648000,486000,7800000,1710,474,https://socialblade.com/youtube/user/postmalonevevo
207,208,B,The Key of Awesome,1100,5482739,3196047267,Comedy,"Jun 11th, 2007",318,248751,62,995,1900,29900,22400,358200,1051,475,https://socialblade.com/youtube/user/barelypolitical
208,209,A,Nickelodeon,3221,5815861,3197055415,Entertainment,"Oct 10th, 2005",7515,3516700,879,14100,26400,422000,316500,5100000,956,476,https://socialblade.com/youtube/user/nickelodeon
209,210,A-,TMZ,30212,3592189,3190603875,Entertainment,"Apr 10th, 2006",1665,1121760,280,4500,8400,134600,101000,1600000,2078,478,https://socialblade.com/youtube/user/tmz
210,211,A-,FutureVEVO,176,4666785,3180331143,Music,"Jun 30th, 2010",-285,1768960,442,7100,13300,212300,159200,2500000,1381,480,https://socialblade.com/youtube/user/futurevevo
211,212,A,WisinYYandelVEVO,49,3010601,3163200801,Music,"May 12th, 2009",-91,3882460,971,15500,29100,465900,349400,5600000,2759,481,https://socialblade.com/youtube/user/wisinyyandelvevo
