,Rank,Grade,Name,Uploads,Subscribers,Views,Daily Average Subs,Daily Average Video Views,Daily Min Estimated Earnings,Daily Max Estimated Earnings,URL
100,101,B+,TheRichest,2803,12895497,6211038105,4490,1299860,325,5200,https://socialblade.com/youtube/user/dxi8d8qrsryui2eryjyb-w
101,102,B,Romeo Santos,14,12808441,339024314,14499,58859,15,235,https://socialblade.com/youtube/user/romeo
102,103,A,Troom Troom,856,12794162,3912365258,13960,4323640,1100,17300,https://socialblade.com/youtube/user/wwqhwqlsrdwmgp5dzg5dzg
103,104,B-,Becky G,55,12710825,34198937,6809,12288,3,49,https://socialblade.com/youtube/user/beckygofficial
104,105,A,CalvinHarrisVEVO,126,12635391,10616501660,-875,4691300,1200,18800,https://socialblade.com/youtube/user/calvinharrisvevo
105,106,A-,Boyce Avenue,359,12615501,4596625041,3650,1487850,372,6000,https://socialblade.com/youtube/user/boyceavenue
106,107,A,5-Minute Crafts KIDS,1572,12583983,2321267357,24277,4654110,1200,18600,https://socialblade.com/youtube/user/57xajj04ty8gnxowf-sy0q
107,108,A,ChrisBrownVEVO,190,12577023,7930271751,-633,2772790,693,11100,https://socialblade.com/youtube/user/chrisbrownvevo
108,109,B-,Fifth Harmony,67,12503506,128565151,2700,20459,5,82,https://socialblade.com/youtube/user/officialfifthharmony
109,110,A,Reaction Time,1395,12441104,3666025667,9064,2983090,746,11900,https://socialblade.com/youtube/user/hm5ff2yveiz16ewib081cg
110,111,B+,The Slow Mo Guys,255,12326059,1701255207,4866,1193170,298,4800,https://socialblade.com/youtube/user/theslowmoguys
111,112,B,Miley Cyrus,75,12291807,312138349,2405,233955,58,936,https://socialblade.com/youtube/user/mileyofficialonline
112,113,A,DisneyMusicVEVO,786,12202600,7842071961,6370,4455210,1100,17800,https://socialblade.com/youtube/user/disneymusicvevo
113,114,A,ChainsmokersVEVO,145,12193961,8493876603,-1346,4392330,1100,17600,https://socialblade.com/youtube/user/chainsmokersvevo
114,115,A,Jelly,3343,12167536,4781665486,13444,7561400,1900,30200,https://socialblade.com/youtube/user/jellyyt
115,116,A,Post Malone,23,12166692,1068850035,27267,2803870,701,11200,https://socialblade.com/youtube/user/postmalone
116,117,A,Kids TV - Nursery Rhymes And Baby,2442,12144474,6073111664,12615,-290520,0,0,https://socialblade.com/youtube/user/7pq3ko42ypkcb_q4e981jw
117,118,A,Marvel Entertainment,5722,12093830,2697475498,22193,3811560,953,15200,https://socialblade.com/youtube/user/marvel
118,119,A,Fueled By Ramen,1157,12009299,10953260363,4187,4080470,1000,16300,https://socialblade.com/youtube/user/fueledbyramen
119,120,B+,DemiLovatoVEVO,165,11986438,4428245949,-686,867196,217,3500,https://socialblade.com/youtube/user/demilovatovevo
120,121,A,David Dobrik,561,11982802,4403845497,15574,7030430,1800,28100,https://socialblade.com/youtube/user/mh5gdwcx6ln7gec20lenva
121,122,A,IGN,132227,11908768,8864573850,4764,3351580,838,13400,https://socialblade.com/youtube/user/ignentertainment
122,123,B+,FaZe Rug,1419,11902535,2292363182,8319,1458370,365,5800,https://socialblade.com/youtube/user/orugrat
123,124,B,Pitbull,222,11805368,214138904,3282,48047,12,192,https://socialblade.com/youtube/user/pitbullmusic
124,125,A-,H2ODelirious,1774,11688908,2741466487,2980,1363620,341,5500,https://socialblade.com/youtube/user/h2odelirious
125,126,A,MattyBRaps,243,11685903,5410238475,5354,2472500,618,9900,https://socialblade.com/youtube/user/mattybraps
126,127,A-,FunToys Collector Disney Toys,2697,11666122,14639992618,2344,1636960,409,6500,https://socialblade.com/youtube/user/disneycollectorbr
127,128,B,Sky Does Everything,1908,11607979,3790374435,223,249161,62,997,https://socialblade.com/youtube/user/skydoesminecraft
128,129,B+,Lindsey Stirling,118,11595868,2576363377,1926,797908,199,3200,https://socialblade.com/youtube/user/lindseystomp
129,130,B+,The Game Theorists,514,11553545,1994831702,3451,1262780,316,5100,https://socialblade.com/youtube/user/matthewpatrick13
130,131,A+,Boram Tube Vlog [Î≥¥Î,180,11487946,3687330864,59095,20672800,5200,82700,https://socialblade.com/youtube/user/u2zneyhf9pi_wsqfbye96w
131,132,B+,Mariale,882,11473773,1027153839,4857,846143,212,3400,https://socialblade.com/youtube/user/makeuplocalypse
132,133,A,CookieSwirlC,3085,11468021,11071493883,7008,6218660,1600,24900,https://socialblade.com/youtube/user/cookieswirlc
133,134,B+,Kurt Hugo Schneider,482,11453973,2912960966,4807,878251,220,3500,https://socialblade.com/youtube/user/kurthugoschneider
134,135,B+,Wassabi,898,11380621,4060537927,919,821746,205,3300,https://socialblade.com/youtube/user/hoiitsroi
135,136,A,ShawnMendesVEVO,112,11335758,5857056391,-996,2660840,665,10600,https://socialblade.com/youtube/user/4-tgosmjhn-lty4zczbqhw
136,137,A-,NaoFun Toys,1643,11328475,4545698909,5809,2056000,514,8200,https://socialblade.com/youtube/user/naodisneytoys
137,138,A-,Jason Derulo,248,11255843,5616660236,3351,1645880,411,6600,https://socialblade.com/youtube/user/jasonderulo
138,139,A,TheOdd1sOut,111,11226481,1982187108,11282,2886450,722,11500,https://socialblade.com/youtube/user/o8bcnlyzh8tbih9v1mlgqq
139,140,A,SSundee,2112,11186434,4544870260,9227,4685050,1200,18700,https://socialblade.com/youtube/user/ssundee
140,141,A,NBA,30584,11164760,5525114914,6863,2976550,744,11900,https://socialblade.com/youtube/user/nba
141,142,B+,CaseyNeistat,1004,11155407,2548562709,3665,806095,202,3200,https://socialblade.com/youtube/user/caseyneistat
142,143,A,REACT,1604,11110212,3606947555,6942,4677980,1200,18700,https://socialblade.com/youtube/user/react
143,144,B+,The King of Random,891,11109273,2260247168,2070,1157900,289,4600,https://socialblade.com/youtube/user/01032010814
144,145,B+,Rosanna Pansino,665,11089225,2677302635,2480,577659,144,2300,https://socialblade.com/youtube/user/rosannapansino
145,146,B+,CrazyRussianHacker,1323,11058809,2561848749,1293,681050,170,2700,https://socialblade.com/youtube/user/crazyrussianhacker
146,147,A-,VICE,2625,11027637,2196595219,7567,2084470,521,8300,https://socialblade.com/youtube/user/vice
147,148,A-,Billie Eilish,20,10986139,253741950,70881,1334010,334,5300,https://socialblade.com/youtube/user/igm_e4zwyshv3bcw1pnseq
148,149,A,National Geographic,9122,10939700,3004803942,7871,1916160,479,7700,https://socialblade.com/youtube/user/nationalgeographic
149,150,A+,Toys and Colors,238,10870553,6407892249,26861,20061500,5000,80200,https://socialblade.com/youtube/user/gfxm4ti8htwmcyj6cvpg_a
150,151,A,FGTeeV,1229,10855303,10582819006,9575,9110260,2300,36400,https://socialblade.com/youtube/user/fgteev
151,152,B,RiceGum,310,10818991,1988526188,912,384500,96,1500,https://socialblade.com/youtube/user/ricegum
152,153,B+,Jennifer Lopez,92,10740156,155939406,9456,636022,159,2500,https://socialblade.com/youtube/user/jenniferlopez
153,154,B+,MileyCyrusVEVO,54,10698822,3519522867,-524,656713,164,2600,https://socialblade.com/youtube/user/mileycyrusvevo
154,155,A-,League of Legends,965,10670679,2918347135,2197,1706800,427,6800,https://socialblade.com/youtube/user/riotgamesinc
155,156,B,RomanAtwood,118,10627719,1471478452,-47,119137,30,477,https://socialblade.com/youtube/user/romanatwood
156,157,B+,Miranda Sings,797,10573853,1970356323,1763,579035,145,2300,https://socialblade.com/youtube/user/mirandasings08
157,158,B+,fouseyTUBE,148,10546777,1576649002,2180,346663,87,1400,https://socialblade.com/youtube/user/fouseytube
158,159,A,ImagineDragonsVEVO,104,10515613,6785261789,-951,5630860,1400,22500,https://socialblade.com/youtube/user/imaginedragonsvevo
159,160,B,Jesse,249,10510175,2070811334,226,170346,43,681,https://socialblade.com/youtube/user/prankvsprank
160,161,A,Kwebbelkop,3966,10487498,3953518172,7122,2976340,744,11900,https://socialblade.com/youtube/user/kwebbelkop
161,162,A-,America's Got Talent,2019,10419608,2492489524,8656,1939600,485,7800,https://socialblade.com/youtube/user/americasgottalent
162,163,A,As/Is,3790,10415181,9834541680,2845,2310560,578,9200,https://socialblade.com/youtube/user/buzzfeedyellow
163,164,A,SiaVEVO,102,10398167,7600955172,-879,3285320,821,13100,https://socialblade.com/youtube/user/siavevo
164,165,C+,Meghan Trainor,11,10385052,2545461,2246,3417,0.85,14,https://socialblade.com/youtube/user/mtrainor22
165,166,B+,Matt Steffanina,284,10358803,1831433294,5530,865606,216,3500,https://socialblade.com/youtube/user/mattsdance
166,167,B-,Bethany Mota,481,10337858,991329776,-603,19948,5,80,https://socialblade.com/youtube/user/macbarbie07
167,168,A,Tfue,490,10323386,793969061,19232,2948610,737,11800,https://socialblade.com/youtube/user/ttfue
168,169,B+,FifthHarmonyVEVO,87,10251913,5709062845,-786,1332790,333,5300,https://socialblade.com/youtube/user/fifthharmonyvevo
169,170,A,Infinite,691,10199356,1295412794,24049,2995780,749,12000,https://socialblade.com/youtube/user/_hsjgoo67a6giducyuv_8a
170,171,A,Blossom,220,10167399,2578939494,12642,3473750,868,13900,https://socialblade.com/youtube/user/2wuptt0k8ydjpfenggoavq
171,172,B+,theRadBrad,6081,10164375,3994432137,3083,1511040,378,6000,https://socialblade.com/youtube/user/theradbrad
172,173,B+,Bart Baker,325,10097783,3249349950,627,431474,108,1700,https://socialblade.com/youtube/user/bartbaker
173,174,A-,PitbullVEVO,194,10022449,7754573682,-700,1626750,407,6500,https://socialblade.com/youtube/user/pitbullvevo
174,175,B+,CaptainSparklez,4855,10020445,3339655000,215,414773,104,1700,https://socialblade.com/youtube/user/captainsparklez
175,176,B,VitalyzdTv,294,9883425,1642273406,615,-262066,0,0,https://socialblade.com/youtube/user/vitalyzdtv
176,177,A-,DrakeVEVO,37,9830447,5442699738,-618,1757340,439,7000,https://socialblade.com/youtube/user/drakevevo
177,178,B+,Ray,811,9817428,3017272658,-217,68026,17,272,https://socialblade.com/youtube/user/raywilliamjohnson
178,179,A,Katie Angel,345,9796391,1147757731,13136,2221490,555,8900,https://socialblade.com/youtube/user/gsmdg8age3yhfbcxhuppya
179,180,A,Genevieve's Playhouse - Toy,453,9786693,4430591454,13826,5835070,1500,23300,https://socialblade.com/youtube/user/k5q72uyo73urpk8pmm2a3w
180,181,B+,MyLifeAsEva,264,9766183,966681917,3983,437148,109,1700,https://socialblade.com/youtube/user/mylifeaseva
181,182,A-,Sandra Cires Art,733,9718022,1331277537,9315,1843560,461,7400,https://socialblade.com/youtube/user/sandraciresart
182,183,B,ToyScouter,325,9643825,677721465,-162,118484,30,474,https://socialblade.com/youtube/user/toyscouter
183,184,B+,Rooster Teeth,8084,9615908,5805922047,502,884629,221,3500,https://socialblade.com/youtube/user/roosterteeth
184,185,A,Talking Tom,234,9613283,4252301636,14357,4368510,1100,17500,https://socialblade.com/youtube/user/talkingtomcat
