,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
199,200,B,BFvsGF,1859,9081849,2950517163,People,"Oct 9th, 2009",-669,72870,18,291,547,8700,6600,104900,470,536,https://socialblade.com/youtube/user/bfvsgf
200,201,A-,Pina Records,317,9075986,5216169864,Music,"Jul 2nd, 2008",3321,1702020,426,6800,12800,204200,153200,2500000,471,215,https://socialblade.com/youtube/user/pinarecordsvideos
201,202,B,Avril Lavigne,114,9059071,195665804,Music,"Oct 8th, 2005",2337,222141,56,889,1700,26700,20000,319900,473,15091,https://socialblade.com/youtube/user/avrillavigne
202,203,B+,LaurDIY,607,9015925,1107090915,Howto,"Dec 2nd, 2011",1707,511065,128,2000,3800,61300,46000,735900,475,2020,https://socialblade.com/youtube/user/laurdiy
203,204,B,Joey Graceffa,1943,9009662,1880061001,People,"Oct 26th, 2009",750,307273,77,1200,2300,36900,27700,442500,477,1028,https://socialblade.com/youtube/user/joeygraceffa
204,205,A,Pencilmation,457,8982457,4335510388,Film,"Feb 1st, 2007",17190,8082170,2000,32300,60600,969900,727400,11600000,482,303,https://socialblade.com/youtube/user/rossbollinger
205,206,A-,Marmok,244,8981597,1309686758,Games,"Apr 27th, 2008",10562,1870110,468,7500,14000,224400,168300,2700000,483,1642,https://socialblade.com/youtube/user/dj47maryn
206,207,B+,TED-Ed,1576,8962252,1328398037,Education,"Mar 1st, 2011",5871,1197370,299,4800,9000,143700,107800,1700000,484,1611,https://socialblade.com/youtube/user/tededucation
207,208,A,JesseAndMike,424,8946507,5910106231,Entertainment,"Apr 29th, 2007",9661,5065980,1300,20300,38000,607900,455900,7300000,486,179,https://socialblade.com/youtube/user/jesseandmike
208,209,A-,twenty one pilots,108,8902252,1815897209,Music,"Sep 5th, 2009",7323,2177630,544,8700,16300,261300,196000,3100000,488,1073,https://socialblade.com/youtube/user/twentyonepilots
209,210,B+,Karina Garcia,326,8900573,1353700563,Howto,"Oct 19th, 2012",2585,532106,133,2100,4000,63900,47900,766200,489,1570,https://socialblade.com/youtube/user/thekarinabear
210,211,B,Michelle Phan,249,8895293,1034988882,Howto,"Jul 18th, 2006",-74,53130,13,213,398,6400,4800,76500,491,2196,https://socialblade.com/youtube/user/michellephan
211,212,B,P!NK,9,8840516,35359749,Music,"Dec 20th, 2006",4936,46454,12,186,348,5600,4200,66900,492,85937,https://socialblade.com/youtube/user/pinkvideovault
212,213,B,Farruko,114,8837224,666953821,Music,"Oct 30th, 2009",4065,283828,71,1100,2100,34100,25500,408700,493,3779,https://socialblade.com/youtube/user/farrukotv
213,214,A-,The LaBrant Fam,304,8836978,2294079722,People,"Aug 24th, 2012",4859,2095340,524,8400,15700,251400,188600,3000000,494,777,https://socialblade.com/youtube/user/4-ch0epzzpd_arhxcx6laq
214,215,B-,CNCO,92,8785507,55438064,Music,"Dec 10th, 2015",4019,21094,5,84,158,2500,1900,30400,498,55269,https://socialblade.com/youtube/user/qthoqxv71oq-fmldi8rbyw
215,216,B+,Tanner Fox,1076,8727411,1731112264,Film,"Sep 4th, 2011",1717,538436,135,2200,4000,64600,48500,775300,508,1149,https://socialblade.com/youtube/user/mtflims
216,217,A-,Just For Laughs Gags,4240,8724726,4853622315,Comedy,"Jan 14th, 2007",3236,2292560,573,9200,17200,275100,206300,3300000,509,240,https://socialblade.com/youtube/user/justforlaughstv
217,218,B+,How It Should Have Ended,341,8718220,2263778859,Film,"Mar 5th, 2007",2755,806069,202,3200,6000,96700,72500,1200000,511,789,https://socialblade.com/youtube/user/hishedotcom
218,219,B+,MeghanTrainorVEVO,51,8692512,5637663537,Music,"Feb 26th, 2014",-633,1123660,281,4500,8400,134800,101100,1600000,513,191,https://socialblade.com/youtube/user/meghantrainorvevo
219,220,B,grav3yardgirl,1499,8655988,1567914688,Howto,"Dec 3rd, 2010",-1099,112566,28,450,844,13500,10100,162100,517,1306,https://socialblade.com/youtube/user/grav3yardgirl
220,221,A,Netflix,2819,8644422,1747636084,Entertainment,"Jul 17th, 2012",22597,2804000,701,11200,21000,336500,252400,4000000,518,1133,https://socialblade.com/youtube/user/newonnetflix
221,222,B+,RocketJump,338,8638181,1711264391,Film,"Feb 22nd, 2006",1486,510950,128,2000,3800,61300,46000,735800,522,1169,https://socialblade.com/youtube/user/freddiew
222,223,D-,Toy Freaks,492,8547801,6933735324,Entertainment,"Feb 21st, 2012",11111,9314800,2300,37300,69900,1100000,838300,13400000,528,133,https://socialblade.com/youtube/user/3uptheyingyang
223,224,D-,Apple,286,8539892,499278681,Tech,"Jun 22nd, 2005",7221,1351840,338,5400,10100,162200,121700,1900000,529,5338,https://socialblade.com/youtube/user/apple
224,225,B,Shane Dawson TV,204,8483543,1091661212,Comedy,"Mar 10th, 2008",101,-1562510,0,0,0,0,0,0,531,2057,https://socialblade.com/youtube/user/shanedawsontv
225,226,B-,DCTC Toy Channel,2090,8471758,4614016405,Entertainment,"Mar 4th, 2013",-948,39455,10,158,296,4700,3600,56800,534,264,https://socialblade.com/youtube/user/matercarclub
226,227,B+,Colleen Ballinger,944,8452258,1449172029,Entertainment,"Jul 31st, 2006",1225,571928,143,2300,4300,68600,51500,823600,536,1448,https://socialblade.com/youtube/user/psychosoprano
227,228,A,michaeljacksonVEVO,92,8415760,6547714264,Music,"Sep 2nd, 2009",-622,3613220,903,14500,27100,433600,325200,5200000,542,150,https://socialblade.com/youtube/user/michaeljacksonvevo
228,229,A-,Eh Bee Family,712,8401968,2100298793,People,"Jun 21st, 2013",2797,1345480,336,5400,10100,161500,121100,1900000,545,886,https://socialblade.com/youtube/user/ehbeefamily
229,230,B+,Migos ATL,68,8397261,2060769951,Music,"Jan 17th, 2012",6155,954109,239,3800,7200,114500,85900,1400000,546,908,https://socialblade.com/youtube/user/migosatl
230,231,B+,PlayStation,10656,8372752,2134437514,Games,"Dec 16th, 2005",3994,1093090,273,4400,8200,131200,98400,1600000,547,869,https://socialblade.com/youtube/user/playstation
231,232,B+,CinemaSins,717,8361143,2653940226,Film,"Dec 11th, 2012",2596,1028260,257,4100,7700,123400,92500,1500000,549,642,https://socialblade.com/youtube/user/cinemasins
232,233,B+,Marques Brownlee,1107,8307228,1252470228,Tech,"Mar 21st, 2008",4740,943128,236,3800,7100,113200,84900,1400000,551,1728,https://socialblade.com/youtube/user/marquesbrownlee
233,234,A-,Proximity,1314,8247274,3441234620,Entertainment,"Apr 12th, 2009",2328,1458820,365,5800,10900,175100,131300,2100000,555,426,https://socialblade.com/youtube/user/pandoramuslc
